Rent,Beds,Baths,Sqft
645,1,1,500
675,1,1,648
760,1,1,700
800,1,1,903
820,1,1,817
850,2,1,920
855,1,1,900
859,1,1,886
900,1,1.5,1000
905,2,1,920
905,2,1,876
929,2,1,920
960,2,1,975
975,2,2,1100
990,1,1.5,940
995,2,1,1000
1029,2,2,1299
1039,2,2,1164
1049,2,2,1180
1050,2,2,1162
1084,2,2,1163
1100,2,1,1020
1100,2,2,1150
1185,2,2,1225
1245,3,2,1368
1275,2,2,1400
1275,3,2,1350
1400,3,1,1185
1450,2,2,1200
1500,3,2,1412
1518,3,3,1700
1600,3,1,1440
1635,3,3,1460
1635,3,3,1460
1650,3,1.5,1170
1750,3,1.5,1944
1950,4,2.5,2265
1975,3,4,1700
2200,5,4,4319
2400,3,2.5,2700
