Educ,Age,Age^2,Wage
12,76,5776,17.54
10,61,3721,20.93
8,75,5625,12.94
6,38,1444,19.34
12,59,3481,24.12
8,51,2601,18.36
12,45,2025,26.81
16,29,841,26.08
15,54,2916,25.6
18,52,2704,31.15
15,65,4225,31.31
22,55,3025,34.95
17,53,2809,32.37
12,36,1296,28.22
8,70,4900,17.31
17,41,1681,30.48
10,68,4624,20.82
8,61,3721,18.94
16,74,5476,23.92
21,45,2025,33.61
16,54,2916,33.84
16,66,4356,28.33
12,37,1369,25.67
17,47,2209,29.71
8,43,1849,20.96
8,71,5041,15.99
20,61,3721,38.51
13,19,361,12.39
12,22,484,16.37
9,32,1024,16.97
15,59,3481,32.81
20,43,1849,43.44
15,32,1024,25.07
12,34,1156,21.92
8,27,729,16.32
14,51,2601,31.39
18,59,3481,40.61
10,69,4761,19.15
10,32,1024,20.32
16,58,3364,35.6
14,42,1764,31.92
13,22,484,15.38
14,56,3136,30.85
17,71,5041,29.68
20,25,625,24.26
17,36,1296,26.04
17,33,1089,23.8
10,27,729,13.39
20,75,5625,28.95
21,30,900,33.81
9,77,5929,10.31
18,73,5329,18.76
9,35,1225,19.13
16,39,1521,32.36
18,62,3844,33.7
18,57,3249,31.17
9,22,484,10.03
10,41,1681,20.15
12,33,1089,23.17
16,66,4356,27.05
14,21,441,18.11
12,69,4761,23.88
6,21,441,6.93
15,34,1156,26.18
8,70,4900,18.28
15,46,2116,27.9
18,66,4356,29.72
12,76,5776,15.38
12,56,3136,29.15
16,18,324,25.13
13,64,4096,24.89
10,51,2601,22.33
18,66,4356,35.71
14,33,1089,24.74
13,37,1369,24.55
14,74,5476,25.64
21,41,1681,38.77
15,75,5625,21.87
20,46,2116,27.54
12,49,2401,23.66
